"","Country","City","AQI Value","AQI Category","lat","lng"
"179","Italy","Abbiategrasso",69,"Moderate",45.4,8.9167
"180","Côte d'Ivoire","Abidjan",105,"Unhealthy for Sensitive Groups",5.3167,-4.0333
"181","United States of America","Acworth",64,"Moderate",34.0566,-84.6716
"182","United States of America","Adelphi",54,"Moderate",39.0017,-76.9649
"183","United States of America","Alabaster",80,"Moderate",33.2198,-86.8225
"184","Russian Federation","Alagir",50,"Good",43.0333,44.2333
"185","Belgium","Alken",35,"Good",50.8761,5.3078
"186","Canada","Alma",55,"Moderate",48.55,-71.65
"187","Canada","Alma",55,"Moderate",43.3799,-84.6556
"188","Papua New Guinea","Alotau",28,"Good",-10.3167,150.4333
"189","Madagascar","Ambovombe",26,"Good",-25.1764,46.0833
"190","China","Anqiu",107,"Unhealthy for Sensitive Groups",36.3619,119.1072
"191","Madagascar","Antalaha",22,"Good",-14.8833,50.25
"192","United States of America","Antioch",76,"Moderate",37.9787,-121.796
"193","United States of America","Antioch",76,"Moderate",42.4742,-88.0721
"194","Ghana","Apam",104,"Unhealthy for Sensitive Groups",5.2789,-0.7397
"195","Russian Federation","Arkadak",28,"Good",51.9333,43.5
"196","Russian Federation","Arsk",28,"Good",56.1,49.8833
"197","Armenia","Ashtarak",39,"Good",40.2975,44.3617
"198","Guatemala","Atescatempa",104,"Unhealthy for Sensitive Groups",14.175,-89.7417
"199","Italy","Atri",57,"Moderate",42.5833,13.9833
"200","United Kingdom of Great Britain and Northern Ireland","Ayr",29,"Good",55.458,-4.629
"201","United Kingdom of Great Britain and Northern Ireland","Ayr",29,"Good",-19.5744,147.4066
"202","Netherlands","Baarn",34,"Good",52.2167,5.2833
"203","Germany","Bad Langensalza",32,"Good",51.1081,10.6467
"204","Pakistan","Bahawalnagar",500,"Hazardous",29.9928,73.2536
"205","Thailand","Ban Phai",52,"Moderate",16.073,102.7362
"206","Philippines","Bangued",27,"Good",17.5965,120.6179
"207","Germany","Bargteheide",38,"Good",53.7167,10.2667
"208","United States of America","Bartlesville",56,"Moderate",36.7365,-95.9456
"209","Pakistan","Bat Khela",117,"Unhealthy for Sensitive Groups",34.62,71.97
"210","Malaysia","Batu Gajah",92,"Moderate",4.4667,101.05
"211","Italy","Castel Goffredo",124,"Unhealthy for Sensitive Groups",45.2981,10.475
"212","Italy","Catanzaro",68,"Moderate",38.9,16.6
"213","Philippines","Catbalogan",68,"Moderate",11.7833,124.8833
"214","Ecuador","Cayambe",39,"Good",0.0439,-78.1561
"215","Italy","Cesenatico",38,"Good",44.2,12.3944
"216","Argentina","Chacabuco",17,"Good",-34.6333,-60.4667
"217","Peru","Chachapoyas",21,"Good",-6.2167,-77.85
"218","China","Chaoyang",151,"Unhealthy",41.5757,120.4486
"219","Russian Federation","Cherepanovo",38,"Good",54.2333,83.3667
"220","Russian Federation","Cherkessk",49,"Good",44.2222,42.0575
"221","Mexico","Chilpancingo",72,"Moderate",17.55,-99.5
"222","United States of America","Cimarron Hills",73,"Moderate",38.8597,-104.6995
"223","Brazil","Coari",46,"Good",-4.085,-63.1408
"224","United Kingdom of Great Britain and Northern Ireland","Coatbridge",35,"Good",55.8625,-4.0266
"225","Ireland","Cobh",24,"Good",51.851,-8.2967
"226","Brazil","Colatina",45,"Good",-19.5389,-40.6308
"227","Dominican Republic","Comendador",65,"Moderate",18.8833,-71.7
"228","Italy","Como",112,"Unhealthy for Sensitive Groups",45.8103,9.0861
"229","Brazil","Conde",19,"Good",-11.8139,-37.6108
"230","United Kingdom of Great Britain and Northern Ireland","Consett",31,"Good",54.85,-1.83
"231","United States of America","Cooper City",152,"Unhealthy",26.0463,-80.2862
"232","United States of America","Copperas Cove",31,"Good",31.1192,-97.914
"233","Argentina","Corrientes",13,"Good",-27.4833,-58.8167
"234","Italy","Crevalcore",103,"Unhealthy for Sensitive Groups",44.7167,11.15
"235","Azerbaijan","Culfa",52,"Moderate",38.9558,45.6308
"236","Spain","Culleredo",30,"Good",43.2883,-8.3894
"237","India","Cuncolim",73,"Moderate",15.1773,73.9939
"238","Brazil","Curvelo",42,"Good",-18.7558,-44.4308
"239","Germany","Cuxhaven",35,"Good",53.8611,8.6944
"240","United States of America","Cypress Lake",46,"Good",26.5392,-81.8999
"241","Guinea","Dalaba",63,"Moderate",10.656,-12.272
"242","France","Beaune",39,"Good",47.025,4.8397
"243","United States of America","Bedford",56,"Moderate",52.135,-0.47
"244","United States of America","Bedford",56,"Moderate",32.8464,-97.135
"245","United States of America","Bedford",56,"Moderate",42.9406,-71.5302
"246","United States of America","Bedford",56,"Moderate",41.225,-73.6673
"247","United States of America","Bedford",56,"Moderate",42.4969,-71.2783
"248","United States of America","Bedford",56,"Moderate",38.8602,-86.4895
"249","United States of America","Bedford",56,"Moderate",41.3919,-81.536
"250","Ghana","Begoro",105,"Unhealthy for Sensitive Groups",6.3833,-0.3833
"251","China","Beipiao",93,"Moderate",41.802,120.7621
"252","Brazil","Bela Cruz",45,"Good",-3.0508,-40.1678
"253","Bolivia (Plurinational State of)","Bermejo",54,"Moderate",-22.7322,-64.3425
"254","Germany","Bernburg",36,"Good",51.8,11.7333
"255","United States of America","Berwick",50,"Good",41.0555,-76.2492
"256","India","Betma",153,"Unhealthy",22.68,75.62
"257","United States of America","Beverly",48,"Good",42.5681,-70.8627
"258","Russian Federation","Bezhetsk",24,"Good",57.7667,36.7
"259","Pakistan","Bhalwal",179,"Unhealthy",32.2656,72.8994
"260","India","Bhiwandi",151,"Unhealthy",19.2967,73.0631
"261","Indonesia","Binjai",92,"Moderate",3.5986,98.4803
"262","Russian Federation","Baksan",48,"Good",43.6825,43.5339
"263","Colombia","Baranoa",104,"Unhealthy for Sensitive Groups",10.8,-74.9167
"264","Philippines","Baras",51,"Moderate",14.5167,121.2667
"265","Philippines","Baras",51,"Moderate",13.6667,124.3667
"266","Thailand","Nong Bua",38,"Good",15.8647,100.5858
"267","Netherlands","Noordwijkerhout",41,"Good",52.2667,4.5
"268","United States of America","Northbridge",47,"Good",42.13,-71.6547
"269","United Kingdom of Great Britain and Northern Ireland","Norwich",29,"Good",52.6286,1.2928
"270","United Kingdom of Great Britain and Northern Ireland","Norwich",29,"Good",41.5495,-72.0882
"271","United Kingdom of Great Britain and Northern Ireland","Norwich",29,"Good",42.9833,-80.6
"272","Netherlands","Nuenen",37,"Good",51.4733,5.5467
"273","Chile","Nueva Imperial",61,"Moderate",-38.7433,-72.95
"274","Mexico","Nuevo Casas Grandes",46,"Good",30.4167,-107.9167
"275","United States of America","Oak Lawn",79,"Moderate",41.7139,-87.7528
"276","United States of America","Oakdale",53,"Moderate",44.9876,-92.9641
"277","United States of America","Oakdale",53,"Moderate",37.7618,-120.8468
"278","Japan","Odawara",39,"Good",35.25,139.15
"279","Republic of North Macedonia","Ohrid",42,"Good",41.1169,20.8019
"280","Poland","Olecko",47,"Good",54.0333,22.5
"281","Germany","Olfen",32,"Good",51.7167,7.3833
"282","Brazil","Olindina",25,"Good",-11.3669,-38.3328
"283","United States of America","Orem",73,"Moderate",40.2981,-111.6994
"284","United States of America","Orinda",52,"Moderate",37.8808,-122.179
"285","Guatemala","Ostuncalco",94,"Moderate",14.8693,-91.6211
"286","Nigeria","Oyo",80,"Moderate",7.85,3.933
"287","Italy","Pachino",48,"Good",36.7167,15.1
"288","India","Padra",156,"Unhealthy",22.23,73.08
"289","France","Paita",27,"Good",-5.0911,-81.1064
"290","Philippines","Palo",55,"Moderate",11.1583,124.9917
"291","China","Panshi",76,"Moderate",42.9392,126.0561
"292","Brazil","Paragominas",36,"Good",-2.9958,-47.3528
"293","Peru","Paramonga",41,"Good",-10.6744,-77.8186
"294","United States of America","Parkville",56,"Moderate",39.3832,-76.5519
"295","United States of America","Pasadena",58,"Moderate",29.6575,-95.1498
"296","United States of America","Pasadena",58,"Moderate",34.1597,-118.139
"297","United States of America","Pasadena",58,"Moderate",39.1552,-76.5537
"298","United States of America","Pataskala",45,"Good",40.011,-82.7155
"299","Kazakhstan","Pavlodar",50,"Good",52.3,76.95
"300","United States of America","Pelham",46,"Good",40.9,-73.8063
"301","United States of America","Pelham",46,"Good",33.3114,-86.7573
"302","United States of America","Pelham",46,"Good",43.0333,-79.3333
"303","United States of America","Pelham",46,"Good",42.7335,-71.324
"304","Mexico","Perote",77,"Moderate",19.562,-97.242
"305","Serbia","Petrovaradin",63,"Moderate",45.25,19.8667
"306","Thailand","Phatthalung",59,"Moderate",7.5,100
"307","Thailand","Phetchaburi",35,"Good",13.1119,99.9458
"308","India","Phillaur",444,"Hazardous",31.03,75.78
"309","Egypt","Rosetta",60,"Moderate",31.4044,30.4164
"310","Italy","Rossano",48,"Good",39.5667,16.6333
"311","Russian Federation","Rostov",32,"Good",47.2333,39.7
"312","Russian Federation","Rostov",32,"Good",57.1833,39.4167
"313","United Kingdom of Great Britain and Northern Ireland","Royton",56,"Moderate",53.566,-2.121
"314","Germany","Rudolstadt",32,"Good",50.7169,11.3275
"315","Czechia","Rumburk",29,"Good",50.9516,14.5571
"316","Malawi","Rumphi",28,"Good",-11.0167,33.8667
"317","Brazil","Ruy Barbosa",18,"Good",-12.2839,-40.4939
"318","Japan","Sakurai",40,"Good",34.5167,135.85
"319","United Kingdom of Great Britain and Northern Ireland","Salford",58,"Moderate",53.483,-2.2931
"320","Brazil","Salvador",30,"Good",-12.9747,-38.4767
"321","Brazil","Salvador",30,"Good",20.2094,-75.2231
"322","Turkey","Samsun",36,"Good",41.2903,36.3336
"323","Indonesia","Prabumulih",49,"Good",-3.4328,104.2356
"324","Brazil","Presidente Prudente",32,"Good",-22.1256,-51.3889
"325","United States of America","Prichard",28,"Good",30.7735,-88.1301
"326","Canada","Prince George",21,"Good",53.9169,-122.7494
"327","Peru","Pucallpa",30,"Good",-8.3833,-74.55
"328","Spain","Puertollano",32,"Good",38.6833,-4.1167
"329","Israel","Qiryat Gat",80,"Moderate",31.6061,34.7717
"330","Chile","Quillota",182,"Unhealthy",-32.8667,-71.25
"331","India","Rafiganj",356,"Hazardous",24.82,84.65
"332","United States of America","Rahway",62,"Moderate",40.6077,-74.2807
"333","India","Phulpur",226,"Very Unhealthy",24.955,90.3573
"334","India","Phulpur",226,"Very Unhealthy",25.55,82.1
"335","Brazil","Picos",16,"Good",15.083,-23.632
"336","Brazil","Picos",16,"Good",-7.0769,-41.4669
"337","Germany","Pirmasens",30,"Good",49.2,7.6
"338","United States of America","Plum",55,"Moderate",40.5024,-79.7495
"339","Italy","Policoro",46,"Good",40.2,16.6667
"340","Sierra Leone","Port Loko",48,"Good",8.7667,-12.7875
"341","United States of America","Poughkeepsie",43,"Good",41.695,-73.9211
"342","United States of America","Randallstown",52,"Moderate",39.3723,-76.8024
"343","Thailand","Ranong",36,"Good",9.9619,98.6389
"344","Germany","Rathenow",39,"Good",52.6,12.3333
"345","Russian Federation","Reutov",58,"Moderate",55.7622,37.8567
"346","United States of America","Richardson",56,"Moderate",32.9716,-96.7093
"347","United States of America","Richmond",76,"Moderate",37.5295,-77.4756
"348","United States of America","Richmond",76,"Moderate",49.1667,-123.1333
"349","United States of America","Richmond",76,"Moderate",37.9477,-122.3389
"350","United States of America","Richmond",76,"Moderate",-41.3333,173.1833
"351","United States of America","Richmond",76,"Moderate",39.8318,-84.8905
"352","United States of America","Richmond",76,"Moderate",37.7307,-84.2925
"353","United States of America","Richmond",76,"Moderate",51.456,-0.301
"354","United States of America","Richmond",76,"Moderate",29.5824,-95.7563
"355","United States of America","Richmond",76,"Moderate",-33.5983,150.7511
"356","United States of America","Richmond",76,"Moderate",-20.7305,143.1425
"357","Peru","Rioja",25,"Good",-6.05,-77.1417
"358","France","Riom",40,"Good",45.8936,3.1125
"359","Italy","Rocca Priora",47,"Good",41.7833,12.7667
"360","France","Rodez",42,"Good",44.3506,2.575
"361","Philippines","Romblon",50,"Good",12.55,122.28
"362","United States of America","Daly City",62,"Moderate",37.6862,-122.4685
"363","Brazil","Delmiro Gouveia",25,"Good",-9.3858,-37.9958
"364","Russian Federation","Desnogorsk",34,"Good",54.15,33.2833
"365","Turkey","Develi",46,"Good",38.3886,35.4925
"366","Ukraine","Dniprorudne",39,"Good",47.3907,35.0027
"367","Benin","Dogbo",101,"Unhealthy for Sensitive Groups",6.8167,1.7833
"368","United States of America","Dumas",60,"Moderate",35.8613,-101.9642
"369","United States of America","Dyersburg",93,"Moderate",36.0465,-89.3777
"370","United States of America","Eatontown",28,"Good",40.2913,-74.0558
"371","United States of America","El Campo",39,"Good",29.2,-96.2723
"372","United States of America","Ellicott City",44,"Good",39.2774,-76.8345
"373","Japan","Ena",42,"Good",35.4492,137.4128
"374","Italy","Giussano",62,"Moderate",45.7,9.2167
"375","United Kingdom of Great Britain and Northern Ireland","Glenrothes",35,"Good",56.198,-3.178
"376","United Kingdom of Great Britain and Northern Ireland","Glossop",27,"Good",53.443,-1.949
"377","Namibia","Gobabis",19,"Good",-22.4333,18.9667
"378","India","Gobindpur",175,"Unhealthy",24.782,85.6943
"379","Spain","Godella",33,"Good",39.52,-0.4114
"380","Brazil","Goiatuba",37,"Good",-18.0128,-49.3569
"381","Netherlands","Goirle",30,"Good",51.5167,5.0667
"382","United States of America","Golden Glades",61,"Moderate",25.9129,-80.2013
"383","Albania","Gramsh",68,"Moderate",40.8667,20.1833
"384","United States of America","Granger",57,"Moderate",41.7374,-86.1348
"385","United States of America","Grants Pass",29,"Good",42.4333,-123.3317
"386",NA,"Granville",30,"Good",48.8381,-1.5869
"387","Mexico","Guasave",35,"Good",25.5744,-108.4706
"388","Germany","Guben",37,"Good",51.9533,14.7167
"389","Cameroon","Guider",76,"Moderate",9.9342,13.9486
"390","China","Guilin",90,"Moderate",25.2819,110.2864
"391","France","Guipavas",34,"Good",48.4336,-4.4008
"392","United States of America","Fort Walton Beach",65,"Moderate",30.4255,-86.6222
"393","France","Fosses",29,"Good",49.0981,2.5067
"394","United States of America","Fountain Hills",37,"Good",33.6073,-111.7398
"395","United States of America","Fountain",72,"Moderate",38.6886,-104.6829
"396","Brazil","Francisco Morato",169,"Unhealthy",-23.2817,-46.7425
"397","Germany","Freiberg",36,"Good",50.9119,13.3428
"398","United States of America","Front Royal",46,"Good",38.926,-78.1838
"399","Germany","Gaggenau",29,"Good",48.8039,8.3194
"400","Israel","Gan Yavne",77,"Moderate",31.7886,34.7053
"401","Italy","Gela",53,"Moderate",37.0667,14.25
"402","Netherlands","Gennep",30,"Good",51.7,5.9667
"403","Germany","Genthin",31,"Good",52.4,12.1667
"404","Guyana","Georgetown",27,"Good",6.8058,-58.1508
"405","Guyana","Georgetown",27,"Good",-7.9286,-14.4119
"406","Guyana","Georgetown",27,"Good",30.666,-97.6966
"407","Guyana","Georgetown",27,"Good",38.2247,-84.5487
"408","Guyana","Georgetown",27,"Good",31.9849,-81.226
"409","Guyana","Georgetown",27,"Good",-18.3,143.55
"410","Germany","Gera",30,"Good",50.8806,12.0833
"411","United States of America","Lake Jackson",25,"Good",29.0516,-95.4521
"412","United States of America","Lakeside",57,"Moderate",30.1356,-81.7674
"413","United States of America","Lakeside",57,"Moderate",32.856,-116.904
"414","United States of America","Lakeside",57,"Moderate",37.6132,-77.4768
"415","Thailand","Lam Luk Ka",66,"Moderate",13.9297,100.7375
"416","Netherlands","Leusden",33,"Good",52.1333,5.4333
"417","United Kingdom of Great Britain and Northern Ireland","Lewes",37,"Good",50.8747,0.0117
"418","Philippines","Lianga",50,"Good",8.633,126.0932
"419","France","Libourne",46,"Good",44.92,-0.24
"420","Czechia","Litovel",49,"Good",49.7012,17.0762
"421","Belgium","Lokeren",31,"Good",51.1,3.9833
"422","Belgium","Londerzeel",34,"Good",51,4.3
"423","Senegal","Louga",176,"Unhealthy",15.6167,-16.2167
"424","Poland","Lubin",35,"Good",51.4,16.2
"425","Poland","Lublin",32,"Good",51.25,22.5667
"426","Philippines","Lucena",32,"Good",13.9333,121.6167
"427","Philippines","Lucena",32,"Good",37.4,-4.4833
"428","Philippines","Lucena",32,"Good",10.8833,122.6
"429","Philippines","Lucena",32,"Good",-6.9,-34.8689
